gen,gen_time,fitness_min,fitness_max,fitness_avg,champ_id,champ_mean,champ_std,champ_teams,champ_learners,champ_instructions,champ_act_instructions,champ_real_acts,pop_roots,pop_teams,pop_learners,hh_learners_removed,hh_teams_affected,b_teams,b_learners,b_teams_new,b_learners_new
6834,0.0,-128.789322267481,278.409764880068,131.54838867245192, 0f0db788-d7f0-4a84-9b1c-e8c4c60cf3b0,278.409764880068,10.57863531542464,2,6,167,153,5,265,361,1191,0,0,5,589,0,0
6835,0.0,-128.789322267481,278.409764880068,131.54838867245192, 0f0db788-d7f0-4a84-9b1c-e8c4c60cf3b0,278.409764880068,10.57863531542464,2,6,167,153,5,265,361,1191,0,0,5,589,0,0
6836,0.0,-128.789322267481,278.409764880068,131.54838867245192, 0f0db788-d7f0-4a84-9b1c-e8c4c60cf3b0,278.409764880068,10.57863531542464,2,6,167,153,5,265,361,1191,0,0,5,589,0,0
6837,0.0,-128.789322267481,278.409764880068,131.54838867245192, 0f0db788-d7f0-4a84-9b1c-e8c4c60cf3b0,278.409764880068,10.57863531542464,2,6,167,153,5,265,361,1191,0,0,5,589,0,0
6838,0.0,-128.789322267481,278.409764880068,131.54838867245192, 0f0db788-d7f0-4a84-9b1c-e8c4c60cf3b0,278.409764880068,10.57863531542464,2,6,167,153,5,265,361,1191,0,0,5,589,0,0
6839,0.0,-128.789322267481,278.409764880068,131.54838867245192, 0f0db788-d7f0-4a84-9b1c-e8c4c60cf3b0,278.409764880068,10.57863531542464,2,6,167,153,5,265,361,1191,0,0,5,589,0,0
6840,0.0,-128.789322267481,278.409764880068,131.54838867245192, 0f0db788-d7f0-4a84-9b1c-e8c4c60cf3b0,278.409764880068,10.57863531542464,2,6,167,153,5,265,361,1191,0,0,5,589,0,0
6841,0.0,-128.789322267481,278.409764880068,131.54838867245192, 0f0db788-d7f0-4a84-9b1c-e8c4c60cf3b0,278.409764880068,10.57863531542464,2,6,167,153,5,265,361,1191,0,0,5,589,0,0
6842,0.0,-128.789322267481,278.409764880068,131.54838867245192, 0f0db788-d7f0-4a84-9b1c-e8c4c60cf3b0,278.409764880068,10.57863531542464,2,6,167,153,5,265,361,1191,0,0,5,589,0,0
6843,0.0,-128.789322267481,278.409764880068,131.54838867245192, 0f0db788-d7f0-4a84-9b1c-e8c4c60cf3b0,278.409764880068,10.57863531542464,2,6,167,153,5,265,361,1191,0,0,5,589,0,0
6844,0.0,-128.789322267481,278.409764880068,131.54838867245192, 0f0db788-d7f0-4a84-9b1c-e8c4c60cf3b0,278.409764880068,10.57863531542464,2,6,167,153,5,265,361,1191,0,0,5,589,0,0
6845,0.0,-128.789322267481,278.409764880068,131.54838867245192, 0f0db788-d7f0-4a84-9b1c-e8c4c60cf3b0,278.409764880068,10.57863531542464,2,6,167,153,5,265,361,1191,0,0,5,589,0,0
